Sim_num	Dist	eta	latPer	c	m	prop	diaPer	xInit	yInit	r023	eqPrev	waveSpeedDiff
1816	0.0158671	12.608	0.8537	0.8919	0.4262	0.6211	1.1424	10	26	2.2522	0.6201	-3.0111
2341	0.0313305	12.9853	0.206	0.8734	0.7565	0.8034	0.4483	17	35	2.1844	0.6195	-4.5426
2351	0.0198157	16.9877	0.1972	0.4615	0.4393	0.8135	0.6568	13	32	2.2796	0.6479	-3.9681
4373	0.027765	36.9794	0.9497	0.2873	1.4055	0.5654	1.1901	8	31	1.83	0.6316	0.134401
5425	0.0342134	20.4074	0.6853	0.3132	0.6039	0.333	0.9917	8	33	2.2409	0.6576	5.0822
5632	0.0151359	40.9161	0.8815	0.0248	0.1408	0.0675	0.9953	4	6	2.2736	0.6216	-2.9947
6236	0.0143716	27.1066	0.444	0.3633	0.6743	0.8348	0.8516	6	25	2.1041	0.6123	1.3718
6668	0.021353	29.0888	0.2042	0.7266	0.3951	0.9331	0.8019	9	30	2.2666	0.6789	2.6934
6902	0.00804506	19.8822	0.5389	0.245	1.7612	0.3437	0.6232	8	34	2.1403	0.6177	0.407599
7575	0.00937707	18.3295	0.9637	0.6667	0.4578	0.2283	1.1642	12	33	2.2658	0.6125	-0.9328
7844	0.0232146	30.766	0.5119	0.7694	0.4224	0.6576	0.7004	6	35	2.6183	0.6351	2.0143
9541	0.0263257	29.4323	0.7744	0.7454	1.2806	0.6105	1.0996	12	34	2.2214	0.654	-4.4761
10603	0.0400287	9.5283	0.5925	0.3825	0.5411	0.2864	0.9038	8	19	2.5178	0.6655	-4.582
11683	0.0129745	15.5789	0.2979	0.3063	1.5988	0.8138	1.0169	15	31	2.3875	0.6207	-2.2842
13720	0.012102	41.0499	0.4593	0.183	0.0197	0.7144	0.7751	8	25	2.5258	0.6336	1.1817
14186	0.00674308	26.9415	0.4491	0.7545	0.1412	0.8003	0.5208	6	30	2.4077	0.6253	0.9541
14230	0.0149861	36.3447	0.5051	0.3334	1.6497	0.7079	0.8195	4	33	2.2586	0.6822	-0.4727
14307	0.0287043	4.1042	0.203	0.7189	0.7061	0.3934	0.7391	13	32	2.3769	0.6942	-1.2732
